[15.6, "2026-05-08T16:30:00Z", "06031"]
[15.7, "2026-05-08T16:20:00Z", "06031"]
[15.6, "2026-05-08T16:10:00Z", "06031"]
[16.0, "2026-05-08T16:00:00Z", "06031"]
[16.0, "2026-05-08T15:50:00Z", "06031"]
[16.1, "2026-05-08T15:40:00Z", "06031"]
[16.2, "2026-05-08T15:30:00Z", "06031"]
[16.0, "2026-05-08T15:20:00Z", "06031"]
[16.5, "2026-05-08T15:10:00Z", "06031"]
[16.6, "2026-05-08T15:00:00Z", "06031"]
[16.3, "2026-05-08T14:50:00Z", "06031"]
[16.7, "2026-05-08T14:40:00Z", "06031"]
[17.2, "2026-05-08T14:30:00Z", "06031"]
[16.8, "2026-05-08T14:20:00Z", "06031"]
[16.5, "2026-05-08T14:10:00Z", "06031"]
[16.6, "2026-05-08T14:00:00Z", "06031"]
[16.7, "2026-05-08T13:50:00Z", "06031"]
[17.0, "2026-05-08T13:40:00Z", "06031"]
[16.4, "2026-05-08T13:30:00Z", "06031"]
[16.5, "2026-05-08T13:20:00Z", "06031"]
[16.8, "2026-05-08T13:10:00Z", "06031"]
[16.6, "2026-05-08T13:00:00Z", "06031"]
[16.1, "2026-05-08T12:50:00Z", "06031"]
[16.4, "2026-05-08T12:40:00Z", "06031"]
[16.3, "2026-05-08T12:30:00Z", "06031"]
[16.5, "2026-05-08T12:20:00Z", "06031"]
[16.3, "2026-05-08T12:10:00Z", "06031"]
[16.5, "2026-05-08T12:00:00Z", "06031"]
[15.9, "2026-05-08T11:50:00Z", "06031"]
[15.8, "2026-05-08T11:40:00Z", "06031"]
[15.0, "2026-05-08T11:30:00Z", "06031"]
[16.4, "2026-05-08T11:20:00Z", "06031"]
[15.8, "2026-05-08T11:10:00Z", "06031"]
[16.2, "2026-05-08T11:00:00Z", "06031"]
[16.2, "2026-05-08T10:50:00Z", "06031"]
[15.8, "2026-05-08T10:40:00Z", "06031"]
[15.6, "2026-05-08T10:30:00Z", "06031"]
[15.8, "2026-05-08T10:20:00Z", "06031"]
[15.6, "2026-05-08T10:10:00Z", "06031"]
[15.6, "2026-05-08T10:00:00Z", "06031"]
[16.1, "2026-05-08T09:50:00Z", "06031"]
[15.9, "2026-05-08T09:40:00Z", "06031"]
[15.3, "2026-05-08T09:30:00Z", "06031"]
[15.6, "2026-05-08T09:20:00Z", "06031"]
[15.4, "2026-05-08T09:10:00Z", "06031"]
[15.5, "2026-05-08T09:00:00Z", "06031"]
[14.6, "2026-05-08T08:50:00Z", "06031"]
[14.3, "2026-05-08T08:40:00Z", "06031"]
[14.8, "2026-05-08T08:30:00Z", "06031"]
[14.8, "2026-05-08T08:20:00Z", "06031"]
[14.5, "2026-05-08T08:10:00Z", "06031"]
[14.3, "2026-05-08T08:00:00Z", "06031"]
[13.7, "2026-05-08T07:50:00Z", "06031"]
[13.8, "2026-05-08T07:40:00Z", "06031"]
[13.6, "2026-05-08T07:30:00Z", "06031"]
[12.8, "2026-05-08T07:20:00Z", "06031"]
[11.7, "2026-05-08T07:10:00Z", "06031"]
[11.5, "2026-05-08T06:50:00Z", "06031"]
[11.8, "2026-05-08T06:40:00Z", "06031"]
[12.0, "2026-05-08T06:30:00Z", "06031"]
[11.9, "2026-05-08T06:20:00Z", "06031"]
[11.6, "2026-05-08T06:10:00Z", "06031"]
[11.1, "2026-05-08T06:00:00Z", "06031"]
[10.6, "2026-05-08T05:50:00Z", "06031"]
[10.1, "2026-05-08T05:40:00Z", "06031"]
[9.6, "2026-05-08T05:30:00Z", "06031"]
[9.2, "2026-05-08T05:20:00Z", "06031"]
[8.4, "2026-05-08T05:10:00Z", "06031"]
[7.7, "2026-05-08T05:00:00Z", "06031"]
[7.4, "2026-05-08T04:50:00Z", "06031"]
[7.0, "2026-05-08T04:40:00Z", "06031"]
[6.7, "2026-05-08T04:30:00Z", "06031"]
[6.4, "2026-05-08T04:20:00Z", "06031"]
[6.2, "2026-05-08T04:10:00Z", "06031"]
[6.0, "2026-05-08T04:00:00Z", "06031"]
[6.0, "2026-05-08T03:50:00Z", "06031"]
[6.2, "2026-05-08T03:40:00Z", "06031"]
[5.5, "2026-05-08T03:30:00Z", "06031"]
[5.4, "2026-05-08T03:20:00Z", "06031"]
[5.6, "2026-05-08T03:10:00Z", "06031"]
[5.6, "2026-05-08T03:00:00Z", "06031"]
[5.6, "2026-05-08T02:50:00Z", "06031"]
[5.7, "2026-05-08T02:40:00Z", "06031"]
[5.6, "2026-05-08T02:30:00Z", "06031"]
[5.8, "2026-05-08T02:20:00Z", "06031"]
[6.1, "2026-05-08T02:10:00Z", "06031"]
[6.0, "2026-05-08T02:00:00Z", "06031"]
[5.9, "2026-05-08T01:50:00Z", "06031"]
[5.1, "2026-05-08T01:40:00Z", "06031"]
[4.7, "2026-05-08T01:30:00Z", "06031"]
[4.9, "2026-05-08T01:20:00Z", "06031"]
[4.6, "2026-05-08T01:10:00Z", "06031"]
[3.9, "2026-05-08T01:00:00Z", "06031"]
[2.9, "2026-05-08T00:50:00Z", "06031"]
[2.7, "2026-05-08T00:40:00Z", "06031"]
[2.4, "2026-05-08T00:30:00Z", "06031"]
[2.6, "2026-05-08T00:20:00Z", "06031"]
[2.8, "2026-05-08T00:10:00Z", "06031"]
[2.6, "2026-05-08T00:00:00Z", "06031"]
